m,r,l,P,T,rho,epsilon,nabla,convective_status
1.5389039074321936e+33,21910440033.018574,1.06769001759815e+34,1.840361126067232e+16,8334626.922256747,16.332099310491273,0.30507783305201425,[0.22740178],0
1.539575331475576e+33,21917252601.488117,1.0677105970649395e+34,1.8379929675778984e+16,8332201.784758778,16.31582943137414,0.3043369782964308,[0.22735516],0
1.5402467555189582e+33,21924067698.888832,1.0677311266265858e+34,1.8356267536169296e+16,8329776.717486537,16.29956720784163,0.3035976010901514,[0.22730855],0
1.5409181795623404e+33,21930885329.62345,1.0677516063716617e+34,1.8332624824398904e+16,8327351.7177286595,16.283312636812074,0.3028596985870983,[0.22726196],0
1.5415896036057227e+33,21937705498.105114,1.0677720363886614e+34,1.8309001523069336e+16,8324926.7827818,16.26706571520368,0.3021232679494359,[0.22721538],0
1.542261027649105e+33,21944528208.757343,1.067792416766001e+34,1.8285397614827976e+16,8322501.909950636,16.250826439934645,0.30138830634753483,[0.22716882],0
1.5429324516924873e+33,21951353466.014072,1.0678127475920178e+34,1.8261813082368076e+16,8320077.096547867,16.234594807923205,0.30065481095994734,[0.22712227],0
1.5436038757358695e+33,21958181274.31961,1.0678330289549702e+34,1.823824790842877e+16,8317652.339894212,16.2183708160878,0.29992277897337105,[0.22707574],0
1.5442752997792518e+33,21965011638.12868,1.0678532609430382e+34,1.821470207579504e+16,8315227.637318413,16.20215446134715,0.29919220758262655,[0.22702923],0
1.544946723822634e+33,21971844561.90639,1.0678734436443236e+34,1.819117556729776e+16,8312802.986157232,16.185945740620355,0.2984630939906184,[0.22698273],0
1.5456181478660164e+33,21978680050.128242,1.0678935771468492e+34,1.8167668365813656e+16,8310378.383755454,16.169744650827017,0.29773543540831454,[0.22693626],0
1.5462895719093986e+33,21985518107.280136,1.0679136615385594e+34,1.814418045426533e+16,8307953.827465884,16.153551188887317,0.2970092290547077,[0.22688979],0
1.5469609959527812e+33,21992358737.858376,1.06793369690732e+34,1.812071181562124e+16,8305529.314649349,16.137365351722142,0.29628447215679204,[0.22684335],0
1.5476324199961632e+33,21999201946.369637,1.067953683340918e+34,1.809726243289575e+16,8303104.842674701,16.121187136253194,0.2955611619495346,[0.22679693],0
